inventory_id,part_name,manufacturer,model_exact_variant,quantity,purchase_status,procurement_role,purchase_link_reference,photo_reference,controller_ownership,function,interface_documented,voltage_documented,current_documented,voltage_measured,current_measured,connector,zie_logical_slot,driver_extension,hardware_profile_mapping,cad_status,dimensions_documented,dimensions_measured,weight_documented,weight_measured,safety_criticality,verify_on_arrival,decision_keep_replace_undecided,notes,evidence_source,reviewer,date_received
HW-001,ESP32-S3 development board,,ESP32-S3-N16R8 (non-camera board),1,received,existing,,IMG_0384–IMG_0387,,Bench development and backup controller,GPIO / SPI / I2C / I2S / USB,Board normally powered by USB/5 V; module itself 3.0–3.6 V,,,,,,,,,,,,,,yes,UNDECIDED,Workbook category: Controller | Workbook role: Spare | Evidence wording: Photo-confirmed | Confidence wording: High | Reference-family specifications (not measured): Dual-core Xtensa LX7 up to 240 MHz; 16 MB flash; 8 MB Octal PSRAM; 2.4 GHz Wi-Fi; Bluetooth 5 LE | Software need (not implementation proof): Arduino-ESP32 or ESP-IDF | Do not assume dev-board pinout from the module name. Identify exact board model and USB bridge before wiring.,Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-001,,
HW-002,ESP32-S3 camera development board,,ESP32-S3 N16R8 with OV5640 5 MP camera,1,ordered,existing,"Online seller screenshots photo_1, photo_4, photo_7–photo_10 (not physical-arrival proof)",,,Primary Zi-E controller with camera,Camera DVP / GPIO / SPI / I2C / I2S / USB / microSD,USB-C or external 5 V per seller listing,,,,,,,,,,,,,,yes,UNDECIDED,"Workbook category: Controller + Camera | Workbook role: Primary design target | Evidence wording: Ordered; awaiting arrival | Confidence wording: Medium | Reference-family specifications (not measured): Seller listing: dual-core Xtensa LX7 up to 240 MHz; 16 MB flash; 8 MB PSRAM; OV5640 5 MP camera; 2.4 GHz Wi-Fi; Bluetooth LE 5; microSD; USB-C and USB OTG. Claims up to 45 GPIO, but camera and board circuitry consume/reserve pins. | Software need (not implementation proof): Arduino-ESP32 + esp32-camera | Seller example pin map is recorded in Camera Pin Map. Verify PCB revision, OV5640 marking and every GPIO on arrival before flashing or wiring. | Seller camera identity and pin maps are provisional procurement references only; arrival review is required before wiring or firmware pin freeze.",Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-002,,
HW-003,3.5-inch SPI TFT LCD module,,ILI9488; PCB marked 3.5 TFT SPI 480×320 V1.0,1,received,existing,SKU 2061001103,IMG_0419–IMG_0424,,Main user interface,SPI; separate touch SPI; microSD SPI,Verify PCB input voltage and logic levels,,,,,,,,,,,,,,yes,UNDECIDED,"Workbook category: Display | Workbook role: Primary | Evidence wording: Photo + receipt confirmed | Confidence wording: High | Reference-family specifications (not measured): 480×320 pixels; SPI display; microSD socket; touch interface present, controller not confirmed | Software need (not implementation proof): TFT_eSPI; touch library only after controller confirmation | ILI9488 often needs board-specific library configuration. Verify touch-controller IC and every printed pin label.",Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-003,,
HW-004,Stereo DAC module,,PCM5102 / PCM5102A module,1,received,existing,SKU 3011013038,IMG_0395–IMG_0399,,Digital audio conversion,I2S,Verify module VIN and logic arrangement,,,,,,,,,,,,,,yes,UNDECIDED,"Workbook category: Audio output | Workbook role: Primary | Evidence wording: Photo + receipt confirmed | Confidence wording: High | Reference-family specifications (not measured): Stereo audio DAC; reference IC supports I2S/left-justified audio up to 32-bit/384 kHz and typical 112 dB SNR | Software need (not implementation proof): Arduino-ESP32 built-in I2S API | Module pin names and onboard regulator/jumpers vary. Confirm BCK, LRCK, DIN, GND and power labels.",Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-004,,
HW-005,Class-D amplifier module,,"PAM8403, 2 × 3 W class-D",1,received,existing,SKU 3011017003,IMG_0404–IMG_0407,,Drive the two speakers,Analog stereo in; bridge-tied speaker outputs,2.5–5.5 V,,,,,,,,,,,,,,yes,UNDECIDED,Workbook category: Audio output | Workbook role: Primary | Evidence wording: Photo + receipt confirmed | Confidence wording: High | Reference-family specifications (not measured): 2.5–5.5 V supply; 3 W/channel rating is specified at 5 V into 4 Ω near 10% THD; output into 8 Ω speakers will be lower | Software need (not implementation proof): None (analog hardware) | Speaker negatives are not ground. Never join L−/R− or connect either output to ground.,Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-005,,
HW-006,Microphone amplifier module,,MAX9814 with AGC,1,received,existing,SKU 3011017071,Photo set,,Voice/audio sensing,Analog output to ESP32 ADC,Verify module VIN; IC reference supply 2.7–5.5 V,,,,,,,,,,,,,,yes,UNDECIDED,Workbook category: Audio input | Workbook role: Primary | Evidence wording: Photo + receipt confirmed | Confidence wording: High | Reference-family specifications (not measured): Low-noise microphone amplifier with automatic gain control and analog output | Software need (not implementation proof): ESP32 ADC API; no dedicated driver | No software driver is required; ADC sampling and bias handling are firmware tasks. Verify module GAIN/AR pins.,Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-006,,
HW-007,Laser time-of-flight module,,VL53L0X / GY-53 / CJMCU style,1,received,existing,SKU 3011007068,Photo set,,Proximity and distance sensing,I2C; optional XSHUT/GPIO,Sensor IC supply differs from breakout VIN; verify regulator/level shifting,,,,,,,,,,,,,,yes,UNDECIDED,Workbook category: Distance sensor | Workbook role: Primary | Evidence wording: Photo + receipt confirmed | Confidence wording: High | Reference-family specifications (not measured): I2C time-of-flight distance sensor; range can approach 2 m only under favorable target and lighting conditions | Software need (not implementation proof): VL53L0X Arduino library | Confirm exact breakout pin labels and I2C voltage compatibility before power-up. | Received VL53L0X/GY-53/CJMCU-style hardware does not satisfy the VL53L1X head-rangefinder candidate without an explicit KEEP/REPLACE decision.,Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-007,,
HW-008,Addressable RGB LED breakout,,WS2812/WS2811 family,2,received,existing,SKU 3011007040,IMG_0400–IMG_0403,,Status and effects lighting,"Single-wire data, DI/DO",Typically 5 V LED power; verify module,,,,,,,,,,,,,,yes,UNDECIDED,Workbook category: Lighting | Workbook role: Primary | Evidence wording: Photo + receipt confirmed | Confidence wording: High | Reference-family specifications (not measured): Individually addressable RGB LED; typical one-wire 800 kHz protocol; exact LED variant not confirmed | Software need (not implementation proof): Adafruit NeoPixel | Use common ground. A 3.3 V data signal may need level shifting depending on supply/noise margin. | These two RGB breakouts do not satisfy the different belly-matrix design candidate without an explicit KEEP/REPLACE decision.,Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-008,,
HW-009,Round speaker,,"8 Ω, 2 W, 40 mm",3,received,existing,SKU 2200001097,IMG_0404–IMG_0407,,Two active speakers plus one spare,Two-wire audio,Driven from amplifier only,,,,,,,,,,,,,,yes,UNDECIDED,Workbook category: Audio output | Workbook role: Primary | Evidence wording: Photo + receipt confirmed | Confidence wording: High | Reference-family specifications (not measured): 8 Ω nominal impedance; 2 W marked/rated; approximately 40 mm diameter | Software need (not implementation proof): None | PAM8403 output will be below its 4 Ω headline power when using 8 Ω speakers.,Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-009,,
HW-010,Switching power-supply board,,5 V / 3 A seller description,1,received,existing,SKU 2210001675,Photo set,,System 5 V rail,Power input/output,Input TO VERIFY; output nominal 5 V,,,,,,,,,,,,,,yes,UNDECIDED,"Workbook category: Power | Workbook role: Primary | Evidence wording: Photo + receipt confirmed | Confidence wording: Medium | Reference-family specifications (not measured): Seller-rated 5 V, 3 A; topology, input range, isolation and protections not confirmed | Software need (not implementation proof): None (hardware verification required) | Do not connect until input/output terminals, polarity, isolation and safe current capability are identified. | Electrically blocked for system power pending input range, terminals, polarity, isolation, protection, and safe-current verification.",Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-010,,
HW-011,Solderless breadboard,,"MB-102 mini, 400 tie points",1,received,existing,SKU 2280001012,IMG_0425–IMG_0426,,Bench prototyping,2.54 mm contacts,Passive,,,,,,,,,,,,,,yes,UNDECIDED,Workbook category: Prototyping | Workbook role: Bench | Evidence wording: Photo + receipt confirmed | Confidence wording: High | Reference-family specifications (not measured): 400 tie points; package shows 300 terminal points + 100 distribution points; approx. 82 × 55 × 8.5 mm | Software need (not implementation proof): None | Not suitable for high current speaker/power paths.,Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-011,,
HW-012,Perforated prototyping board,,1000-point perfboard,1,received,existing,SKU 2231001003,IMG_0380–IMG_0383,,Permanent prototype assembly,2.54 mm through-hole grid (verify),Passive,,,,,,,,,,,,,,yes,UNDECIDED,Workbook category: Prototyping | Workbook role: Primary | Evidence wording: Photo + receipt confirmed | Confidence wording: High | Reference-family specifications (not measured): 1000 solder points; exact dimensions and copper pattern should be measured | Software need (not implementation proof): None | Plan ground and power distribution before soldering.,Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-012,,
HW-013,Male pin header,,"1 × 40, standard breakaway",5,received,existing,SKU 2160001002,Photo set,,Module and perfboard connections,Through-hole,Passive,,,,,,,,,,,,,,yes,UNDECIDED,Workbook category: Interconnect | Workbook role: Primary | Evidence wording: Photo + receipt confirmed | Confidence wording: High | Reference-family specifications (not measured): 40 positions per strip; likely 2.54 mm pitch | Software need (not implementation proof): None | Verify pitch against modules before soldering.,Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-013,,
HW-014,Jumper-wire ribbon,,"Female-to-female, 20 cm, 40 wires",1,received,existing,SKU 2291006001,Photo set,,Bench interconnect,2.54 mm female sockets,Passive,,,,,,,,,,,,,,yes,UNDECIDED,"Workbook category: Interconnect | Workbook role: Bench | Evidence wording: Photo + receipt confirmed | Confidence wording: High | Reference-family specifications (not measured): 40 separable Dupont-style leads, approximately 20 cm | Software need (not implementation proof): None | Use only for low-current signals and light loads.",Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-014,,
HW-015,Jumper-wire ribbon,,"Male-to-female, 20 cm, 40 wires",1,received,existing,SKU 2291006004,Photo set,,Bench interconnect,2.54 mm male/female,Passive,,,,,,,,,,,,,,yes,UNDECIDED,"Workbook category: Interconnect | Workbook role: Bench | Evidence wording: Photo + receipt confirmed | Confidence wording: High | Reference-family specifications (not measured): 40 separable Dupont-style leads, approximately 20 cm | Software need (not implementation proof): None | Use only for low-current signals and light loads.",Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-015,,
HW-016,USB-A to USB-C cable,,"Shielded, 30 cm",1,received,existing,SKU 2291004188,IMG_0408–IMG_0411,,Programming and power,USB,5 V USB plus data if cable is data-capable,,,,,,,,,,,,,,yes,UNDECIDED,Workbook category: Cable | Workbook role: Bench | Evidence wording: Photo + receipt confirmed | Confidence wording: High | Reference-family specifications (not measured): USB-A to USB-C; seller lists 30 cm and shielded construction | Software need (not implementation proof): None | Verify the cable carries data; some USB cables are charge-only.,Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-016,,
HW-017,Digital multimeter,,"DT-830/832D family, black",1,existing,existing,Receipt screenshot; SKU 3301003003,,,"Voltage, resistance and continuity checks",Test probes,Battery powered,,,,,,,,,,,,,,yes,UNDECIDED,"Workbook category: Test equipment | Workbook role: Bench | Evidence wording: Receipt-confirmed; photo not clearly matched | Confidence wording: Medium | Reference-family specifications (not measured): Basic handheld DMM; exact ranges, fuse and safety category depend on actual variant | Software need (not implementation proof): None | Read the exact unit manual. Do not rely on unverified CAT markings for mains work. | Receipt confirms purchase; physical receipt is unresolved because no photo is clearly matched.",Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-017,,
HW-018,Electrolytic capacitor,,"10 µF, 35 V",5,received,existing,SKU 2021101331,IMG_0412–IMG_0415,,Decoupling/filtering,Through-hole,≤35 V with design margin,,,,,,,,,,,,,,yes,UNDECIDED,Workbook category: Capacitor | Workbook role: Primary | Evidence wording: Photo + receipt confirmed | Confidence wording: High | Reference-family specifications (not measured): 10 µF capacitance; 35 V maximum rated voltage; polarized | Software need (not implementation proof): None | Observe polarity and derate voltage. ESR/tolerance unknown.,Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-018,,
HW-019,Electrolytic capacitor,,"1000 µF, 10 V, TAICON marking",5,received,existing,SKU 2021101139,IMG_0412–IMG_0415,,Bulk power filtering,Through-hole,≤10 V with design margin,,,,,,,,,,,,,,yes,UNDECIDED,Workbook category: Capacitor | Workbook role: Primary | Evidence wording: Photo + receipt confirmed | Confidence wording: High | Reference-family specifications (not measured): 1000 µF; 10 V maximum rated voltage; polarized | Software need (not implementation proof): None | Observe polarity; keep well below 10 V. ESR/temperature series unknown.,Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-019,,
HW-020,Polyester film capacitor,,"100 nF, 100 V, 5%",5,received,existing,SKU 2021006226,IMG_0391–IMG_0394,,Signal filtering/decoupling,Through-hole,≤100 V with design margin,,,,,,,,,,,,,,yes,UNDECIDED,Workbook category: Capacitor | Workbook role: Primary | Evidence wording: Photo + receipt confirmed | Confidence wording: High | Reference-family specifications (not measured): 0.1 µF; 100 V; ±5%; non-polarized | Software need (not implementation proof): None | Check lead spacing before PCB/perfboard layout.,Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-020,,
HW-021,Ceramic disc capacitor,,"100 nF, marking 104",20,received,existing,SKU 2021005001,IMG_0408–IMG_0411,,Local decoupling,Through-hole,Voltage rating TO VERIFY,,,,,,,,,,,,,,yes,UNDECIDED,Workbook category: Capacitor | Workbook role: Primary | Evidence wording: Photo + receipt confirmed | Confidence wording: High | Reference-family specifications (not measured): 0.1 µF nominal; voltage rating and dielectric not shown | Software need (not implementation proof): None | Do not infer voltage rating from “104”; it encodes capacitance only.,Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-021,,
HW-022,Self-locking pushbutton,,"Red, round, 12 × 12 mm",5,received,existing,SKU 2181002080,Photo set,,Power/mode controls,Mechanical contacts,Rating TO VERIFY,,,,,,,,,,,,,,yes,UNDECIDED,Workbook category: Switch | Workbook role: Primary | Evidence wording: Photo + receipt confirmed | Confidence wording: High | Reference-family specifications (not measured): Latching/self-locking action per seller; contact rating not verified | Software need (not implementation proof): None | Measure continuity to identify pins and states before wiring.,Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-022,,
HW-023,Slide switch,,"SK12D07, 3-pin, two-position",5,received,existing,SKU 2181001033,IMG_0412–IMG_0415,,Mode/power selection,Mechanical contacts,Rating TO VERIFY,,,,,,,,,,,,,,yes,UNDECIDED,"Workbook category: Switch | Workbook role: Primary | Evidence wording: Photo + receipt confirmed | Confidence wording: High | Reference-family specifications (not measured): SPDT-style 3-pin, two-position form; electrical rating not verified | Software need (not implementation proof): None | Confirm center/common pin with multimeter.",Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-023,,
HW-024,Crimp terminal contacts,,2510 contacts,50,received,existing,SKU 2171001057,IMG_0416–IMG_0418,,Wire harness construction,Crimp,Passive,,,,,,,,,,,,,,yes,UNDECIDED,"Workbook category: Connector | Workbook role: Primary | Evidence wording: Photo + receipt confirmed | Confidence wording: Medium | Reference-family specifications (not measured): Seller family “2510”; wire gauge, plating and mating series not confirmed | Software need (not implementation proof): None | Use the correct crimp tool; perform pull-test on first samples.",Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-024,,
HW-025,Female connector housing,,"EI type, 3-pin",5,received,existing,SKU 2171001073,IMG_0416–IMG_0418,,Wire harness construction,Crimp housing,Passive,,,,,,,,,,,,,,yes,UNDECIDED,Workbook category: Connector | Workbook role: Primary | Evidence wording: Photo + receipt confirmed | Confidence wording: Medium | Reference-family specifications (not measured): 3 positions; pitch and mating header require measurement | Software need (not implementation proof): None | Confirm the ordered contacts actually latch and mate correctly.,Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-025,,
HW-026,Right-angle connector/housing,,"XH family, 2-pin",10,received,existing,SKU 2171001011,IMG_0416–IMG_0418,,Power/signal harness,Through-hole / housing,Passive,,,,,,,,,,,,,,yes,UNDECIDED,Workbook category: Connector | Workbook role: Primary | Evidence wording: Photo + receipt confirmed | Confidence wording: Medium | Reference-family specifications (not measured): 2 positions; commonly 2.50 mm family but clones vary | Software need (not implementation proof): None | Measure pitch and identify whether item is header or housing.,Zi-E_Hardware_Master_Inventory.xlsx | Parts Inventory | HW-026,,
