Failure mode,Severity 1-10,Occurrence 1-10,Detection 1-10,Mitigation / verification
Head retract jam,9,4,3,"Tapered/self-centering bay, current+position fault, slow final travel, reverse/stop, manual screw rescue"
Head drops on power loss,8,2,4,Counterbalance + lead screw + damping; shutdown seats; do not assume self-locking
Wheel pod unlocks while driving,9,2,2,Hard structural stop carries load; positive lock sensor gates motor enable
Wheel fold cable fatigue,6,4,5,"Defined flex loop, strain relief, cycle-testable removable pod"
Cliff sensor false-safe on glass/black,10,4,4,"4-corner geometry, invalid/stale=stop, bumper/anti-tip fallback, mandatory surface matrix"
AI/network sends unsafe motion,10,3,2,"STM32 safety boundary, heartbeat lease, local limits, no raw PWM authority"
Arm collision with body/head,8,4,3,CAD key-pose collision checks + runtime collision envelopes + stow sequence
Arm overcurrent / simultaneous stall,9,3,2,"~5A per-arm hardware branch limit, current sensing, global budget, thermal derating"
Tool detaches under load,8,3,3,"3-lug structural bayonet, safety collar, lock sensing, pull/twist release"
Tool hot-plug arc/short,8,3,2,Tool power disabled until lock+ID; wrist eFuse/current limit
Magnet overheats,7,4,3,"Temperature sensor, time/current limit, default off, pull/thermal bench test"
Gripper pinches user,7,4,3,"Spring-open failure, elastic tendon, rounded fingers, current/load caps, slow human zone"
Battery pack short/overcurrent,10,2,2,"BQ77915 protection architecture, fuse/eFuse, keyed cassette, insulated cell volume"
Battery service screw puncture,10,1,2,No screw tips into cell envelope; hard rails/stop carry loads
Rear cover removal damages wiring,5,2,2,No essential wiring on removable cosmetic cover
Speaker vibration corrupts camera/mics,5,4,5,"Separated lower-front chamber, isolation, AEC reference, acoustic A/B test"
Thermal buildup in shutdown,8,3,5,Independent rear/lower passive airflow path; shutdown thermal test
Antenna detuning,5,3,5,Upper-rear nonmetallic keep-out; RF test after PCB/shell integration
Display unavailable / pinout undocumented,5,4,2,Same-envelope backup candidate; adapter cartridge; do not freeze PCB before pinout/touch IC
Maintenance wear/backlash,6,5,4,Replaceable pads/belts/bearings/tools; cycle tests; output sensing where practical
Servo ID/model/baud mismatch at commissioning,9,4,2,"No normal motion until scan/model/voltage/direction/range checks pass; low-torque single-joint commissioning"
Servo bus cable/device causes cascading loss,8,4,3,"Separate head/left/right buses, short parallel branches where practical, individually protected power, device-health scan"
Head/arm cable becomes motion stop,8,4,3,"Explicit flex loop and bend-radius keepout, strain relief, slack gauge/assembly mark, full-range cycle test"
Backlash-induced Pan/Tilt jitter,5,5,3,"Belt preload, configurable deadband/PID, output-reference provision, ST3036 precision fallback"
Motor thermal protection during hold,8,4,3,"Temperature/current telemetry, time-at-load limit, dynamic derating, sustained-load bench test"
Faulted actuator crashes higher control loop,9,3,2,"I/O faults converted to states; Safety loop remains alive; missing device cannot throw uncontrolled process exit"
Command accepted while actuator disabled,8,4,2,"Accepted is not executed; explicit ARMED/EXECUTING/COMPLETED/REJECTED status and actual-state confirmation"
Competing control sources command same joint,8,3,2,"Single daemon command arbiter/lease; one trajectory owner per subsystem"
Unknown grasped payload causes sag/tip,9,4,4,"Tool+object mass/COM model, conservative unknown-payload mode, dynamic stability/torque limits"
Simulation inertia differs from physical robot,7,5,5,"Measured per-link mass/COM/inertia; simplified convex collision meshes; simulation-to-bench correlation"
Belly matrix visible or ugly when off,4,5,2,"Separate secret-until-lit optical insert; transmission/color/diffuser coupon test before custom panel"
Belly matrix light bleed/crosstalk,4,5,3,"Black baffle/light wells, controlled LED-to-window gap, seam-leak dark-room test"
Belly matrix bus stalls critical sensing,8,2,2,"Non-safety dedicated I2C/ESP32 ownership; never put cliff safety dependency on BLM bus"
Belly matrix power/thermal overload,6,3,3,"Global current/brightness cap, load switch, optional NTC, full-white stress test; noncritical fail-off"
