extents_mm,faces,file,vertices,volume_mm3,watertight,winding_consistent
42.00 x 12.00 x 5.00,4260,anti_tip_skid_1.stl,12780,2443.21,False,True
42.00 x 12.00 x 5.00,4260,anti_tip_skid_2.stl,12780,2443.21,False,True
36.00 x 70.00 x 36.73,2245,arm_L_forearm_shell.stl,6735,34312.36,False,True
22.00 x 22.00 x 11.00,1873,arm_L_inner_shell.stl,5619,2776.36,False,True
44.00 x 63.00 x 67.35,2205,arm_L_upper_shell.stl,6615,48773.41,False,True
36.00 x 70.00 x 36.73,2219,arm_R_forearm_shell.stl,6657,34311.58,False,True
22.00 x 22.00 x 11.00,1873,arm_R_inner_shell.stl,5619,2776.36,False,True
44.00 x 63.00 x 67.35,2217,arm_R_upper_shell.stl,6651,48774.4,False,True
182.00 x 140.51 x 58.00,20016,base_shell.stl,60048,105802.45,False,True
62.00 x 78.00 x 43.00,10828,battery_cassette.stl,32484,42129.49,False,True
79.00 x 3.00 x 47.00,4260,battery_door.stl,12780,11077.07,False,True
116.00 x 5.00 x 10.00,4260,bumper_segment_1.stl,12780,5626.31,False,True
116.00 x 5.00 x 10.00,4260,bumper_segment_2.stl,12780,5626.31,False,True
5.00 x 72.00 x 10.00,4260,bumper_segment_3.stl,12780,3485.53,False,True
5.00 x 72.00 x 10.00,4260,bumper_segment_4.stl,12780,3485.53,False,True
29.00 x 25.00 x 96.00,13482,forearm_inner_keyed.stl,40446,41199.86,False,True
36.00 x 32.00 x 81.96,42952,forearm_outer_keyed.stl,128856,26886.51,False,True
10.00 x 8.00 x 27.00,6944,gripper_finger_dist.stl,20832,1863.84,False,True
11.00 x 9.00 x 31.00,8202,gripper_finger_prox.stl,24606,2520.17,False,True
36.00 x 30.00 x 31.00,12650,gripper_palm.stl,37950,11836.47,False,True
34.00 x 28.00 x 28.00,4260,gripper_tool_body.stl,12780,24885.52,False,True
94.52 x 3.00 x 65.26,4616,head_bezel.stl,13848,3998.57,False,True
78.00 x 45.50 x 37.00,25668,head_carriage.stl,77004,28405.31,False,True
63.00 x 3.00 x 37.00,4260,head_rear_hatch.stl,12780,6943.66,False,True
115.55 x 37.78 x 82.00,12752,head_shell.stl,38256,47027.0,False,True
154.00 x 108.00 x 21.50,10052,lower_chassis.stl,30156,112381.95,False,True
30.00 x 30.00 x 30.00,4260,magnet_tool_housing.stl,12780,24498.75,False,True
32.00 x 32.00 x 32.00,11742,magnet_tool_housing_float.stl,35226,10201.22,False,True
35.00 x 35.00 x 16.00,7142,quick_swap_female.stl,21426,7416.82,False,True
32.00 x 32.54 x 12.00,9815,quick_swap_male.stl,29445,5130.01,False,True
50.00 x 39.00 x 10.00,11771,quick_swap_safety_collar.stl,35313,2907.4,False,True
138.00 x 20.00 x 18.00,4260,rear_bridge.stl,12780,47340.25,False,True
117.00 x 3.00 x 77.00,4260,rear_service_cover.stl,12780,26932.12,False,True
30.50 x 54.00 x 54.00,1344,shoulder_bearing_yoke.stl,4032,41480.58,False,True
28.00 x 42.00 x 109.50,7244,shoulder_tower_L.stl,21732,87084.85,False,True
28.00 x 42.00 x 109.50,7244,shoulder_tower_R.stl,21732,87084.85,False,True
22.00 x 16.00 x 7.00,4260,shutdown_foot_1.stl,12780,2352.48,False,True
22.00 x 16.00 x 7.00,4260,shutdown_foot_2.stl,12780,2352.48,False,True
22.00 x 16.00 x 7.00,4260,shutdown_foot_3.stl,12780,2352.48,False,True
22.00 x 16.00 x 7.00,4260,shutdown_foot_4.stl,12780,2352.48,False,True
49.00 x 37.00 x 23.00,8520,speaker_chamber.stl,25560,13990.84,False,True
105.00 x 38.00 x 55.00,5604,tilt_yoke.stl,16812,19902.97,False,True
175.40 x 133.67 x 127.88,16350,torso_shell.stl,49050,135018.52,False,True
38.00 x 34.00 x 72.00,14980,upper_arm_housing.stl,44940,24319.45,False,True
12.00 x 55.00 x 52.00,4260,wheel_belt_cover_L.stl,12780,33433.69,False,True
12.00 x 55.00 x 52.00,4260,wheel_belt_cover_R.stl,12780,33433.69,False,True
38.00 x 70.00 x 72.00,4260,wheel_fairing_L.stl,12780,178676.62,False,True
38.00 x 70.00 x 72.00,4260,wheel_fairing_R.stl,12780,178676.62,False,True
40.00 x 70.00 x 72.00,10474,wheel_pod_prototype.stl,31422,67464.64,False,True
38.00 x 28.00 x 34.00,8414,wrist_pitch_yoke.stl,25242,14177.49,False,True
